hours_studied,previous_grade,parental_support,attendance,extracurricular,family_income,class_participation,homework_completion,sleep_hours,final_grade
10,63,0,97,0,158833,0,93,13,68
11,73,0,50,0,96089,0,50,13,95
6,51,0,44,1,170702,0,58,17,98
1,89,1,81,0,163103,0,27,11,57
11,35,1,49,0,89999,1,2,22,51
13,71,1,78,0,131689,1,92,16,98
9,78,1,71,0,177746,0,6,20,46
1,40,1,91,0,175393,0,68,8,74
7,30,0,54,0,112396,1,4,5,40
13,67,0,51,1,174526,1,1,5,41
9,54,1,68,1,173080,1,37,16,46
3,56,0,54,0,197934,1,39,20,91
8,53,1,96,1,108405,0,67,17,63
12,71,0,59,1,58490,1,66,13,61
6,39,0,57,0,142942,1,87,5,90
12,98,1,51,1,197013,1,59,22,55
12,60,1,43,1,74287,0,39,10,78
1,51,1,45,1,152870,0,38,11,81
13,70,0,90,0,187690,0,38,17,42
6,79,1,46,0,143135,1,7,10,95
6,74,1,57,1,166318,1,9,20,86
9,91,1,57,1,151015,0,5,5,49
13,97,1,84,1,107042,0,91,6,51
3,60,0,82,0,69910,1,69,6,95
8,52,0,49,1,162578,1,41,7,87
3,55,1,62,0,87012,0,74,20,58
6,38,1,88,0,56058,0,57,10,54
4,78,1,44,1,150664,0,19,13,79
4,64,0,67,0,125007,1,11,13,44
4,40,1,81,0,55925,0,26,6,98
10,44,1,92,0,72326,0,90,18,57
1,69,0,99,0,103252,0,90,5,46
9,54,0,53,1,50051,0,39,21,67
4,83,0,54,0,71876,1,44,12,75
1,64,0,65,1,145203,1,98,14,49
8,91,1,56,1,54687,1,14,10,99
11,96,0,94,0,190480,1,7,7,65
13,98,1,93,1,68175,0,21,15,71
1,74,0,60,0,185826,1,28,19,89
12,42,0,47,1,157667,1,51,18,62
4,87,1,76,1,157891,1,71,14,44
4,57,0,44,0,103464,1,40,23,62
6,36,0,57,0,61516,1,91,23,51
4,58,0,82,1,129989,1,74,8,62
9,65,1,48,1,74258,1,65,22,84
13,91,0,75,0,175932,1,69,16,45
3,99,1,74,0,107552,1,92,9,59
10,86,1,56,1,144984,0,67,6,97
2,43,0,66,0,99863,1,28,8,90
13,54,0,62,1,77385,0,4,5,49
11,77,0,51,1,137432,0,70,23,51
13,94,1,41,1,147236,1,6,16,54
3,87,0,50,1,112381,0,22,19,68
1,45,1,73,1,172478,0,42,19,64
1,90,1,93,0,106759,0,1,6,50
11,57,0,61,1,125238,0,69,23,76
4,31,1,73,1,136508,0,96,10,67
3,99,0,70,1,136370,1,85,22,41
4,95,1,48,1,64411,0,86,11,43
4,77,0,69,1,99047,1,58,20,67
1,76,0,57,1,164274,0,66,8,47
9,76,1,46,0,187487,0,12,21,58
1,34,1,44,1,188482,0,99,16,79
6,30,1,87,0,173821,1,40,16,86
9,73,0,83,1,93967,1,18,18,45
4,90,1,46,0,92839,1,98,13,96
9,50,1,92,0,152643,1,71,14,52
9,34,0,80,1,154347,1,63,5,89
10,39,1,57,0,54131,1,52,10,80
13,39,1,44,0,136508,1,51,17,70
4,97,0,47,0,105052,0,98,12,64
10,33,1,86,1,153048,1,0,21,85
5,99,0,77,0,79600,1,42,7,56
7,44,0,73,1,129309,0,38,19,89
13,56,0,48,1,121044,0,25,8,54
7,74,0,50,0,141548,0,47,12,72
2,78,0,69,0,81453,1,91,17,70
9,47,1,92,0,134682,0,38,16,55
3,39,1,41,1,104927,0,94,15,59
5,58,0,63,1,84658,1,69,11,65
2,67,0,86,0,86303,1,74,22,56
1,52,1,69,1,183228,1,43,12,98
4,76,1,97,0,77064,1,27,10,62
7,96,1,53,1,182615,0,37,23,66
2,53,1,88,1,78890,1,7,22,40
4,51,0,70,0,132956,0,67,11,42
8,91,0,44,0,116768,0,94,5,86
1,60,1,76,1,66816,0,26,14,99
13,54,0,71,0,121023,1,41,21,87
5,76,0,82,1,74116,0,52,18,72
4,90,0,62,1,134431,0,19,6,44
7,59,0,43,1,86029,1,82,20,57
10,78,0,96,0,123057,0,1,23,86
8,82,1,78,0,110920,0,26,17,41
4,85,1,77,1,158129,1,68,9,43
11,76,0,80,0,145221,1,73,17,70
6,77,0,88,1,114269,1,43,5,77
2,86,1,76,0,197067,0,22,10,52
6,49,0,91,1,196034,1,57,13,93
6,38,1,75,0,197408,1,65,23,72
1,60,0,64,0,124146,1,95,5,47
1,76,0,43,1,74936,1,10,20,79
9,84,0,40,0,192285,0,13,20,50
6,70,1,45,1,88908,1,37,18,40
9,69,1,63,0,180278,1,87,7,74
3,47,0,97,1,118315,1,36,20,82
2,52,0,82,0,87597,1,85,9,42
11,95,1,52,0,177336,1,65,17,93
3,53,1,95,1,54690,0,15,16,90
8,76,1,63,1,145613,0,68,10,40
7,87,1,43,1,109499,1,4,18,76
5,99,0,86,0,52768,0,69,20,56
2,99,1,76,0,128431,1,10,13,46
4,72,0,55,0,84625,1,77,20,90
6,82,1,94,0,113610,1,84,20,59
10,75,0,93,0,157707,0,6,14,93
11,80,0,72,1,136765,0,82,23,47
11,49,0,82,1,172691,1,67,12,77
3,74,0,72,0,182959,0,84,6,98
11,53,0,88,1,150238,0,9,19,48
12,89,1,73,1,182518,1,57,14,87
5,52,1,71,0,192998,1,22,10,95
10,85,0,60,0,122568,0,50,6,46
7,72,0,47,0,92065,0,14,10,49
7,45,1,93,0,140137,0,51,15,64
12,64,1,71,0,54563,1,48,17,65
11,74,0,42,1,179004,1,14,5,54
2,51,0,70,0,64874,1,35,6,41
12,45,1,82,0,100983,1,25,8,50
4,43,1,95,0,113553,0,78,16,93
1,96,1,81,0,68353,0,32,10,64
8,78,0,53,1,64968,1,16,20,66
5,59,1,54,0,70995,1,21,12,47
10,73,0,53,0,84796,0,69,19,48
4,70,1,61,0,75621,1,50,6,65
11,94,0,75,0,113847,1,60,12,98
4,40,1,98,1,139168,0,65,12,51
3,85,1,65,1,186441,0,88,11,86
13,34,1,60,1,73465,0,23,18,86
11,76,0,66,0,171376,0,22,18,96
8,91,0,82,1,180896,1,51,16,46
10,41,1,75,1,195926,0,89,23,68
7,73,0,56,1,83242,0,42,5,41
6,86,1,93,1,186489,0,55,18,71
6,46,1,67,1,64503,0,80,10,53
4,49,0,94,1,187931,0,17,20,75
8,72,0,55,0,141130,0,16,17,90
10,68,1,82,0,50070,0,4,14,50
3,33,0,49,1,104096,1,23,8,41
9,59,0,79,1,126240,0,70,15,69
10,55,0,46,0,105041,1,82,9,55
1,77,1,93,0,82059,1,24,11,69
4,70,0,41,0,81408,1,19,5,88
5,92,0,56,0,95994,0,78,18,54
1,76,0,79,0,191918,0,38,15,72
13,38,1,69,1,139833,1,88,15,77
9,81,1,82,0,177653,0,52,15,72
5,54,1,79,1,137942,0,47,17,46
4,35,0,71,0,110609,1,91,20,93
7,34,1,73,0,175138,1,74,22,56
10,98,0,82,1,82017,1,18,18,73
11,80,0,55,0,86898,1,82,14,76
10,60,0,74,0,157877,1,2,13,90
7,81,0,78,1,77180,1,94,19,59
8,67,1,84,0,152966,1,98,16,82
5,43,1,97,0,146665,0,75,22,47
5,34,1,73,0,107805,0,62,18,67
4,87,1,72,1,161803,1,31,21,78
12,72,0,54,0,179613,0,28,8,42
13,90,0,89,1,96407,1,66,17,83
5,91,0,70,1,161101,0,98,14,91
11,81,1,66,1,144563,1,99,9,62
9,36,0,56,1,80394,1,23,7,68
6,53,1,64,0,127207,1,69,13,43
4,32,0,61,0,101567,0,39,8,99
1,48,1,65,0,53459,0,48,12,90
9,46,1,95,0,149230,1,82,23,45
12,65,1,96,0,115768,1,90,11,41
2,74,1,40,1,72837,1,46,18,52
5,31,0,61,0,155029,0,93,19,62
6,98,0,72,0,88812,0,16,16,76
13,42,1,78,1,106049,1,8,8,67
8,94,1,61,1,77508,1,90,12,68
11,82,0,92,0,169235,1,19,11,58
9,94,0,47,1,116917,0,32,13,94
6,65,0,42,1,173289,1,81,10,87
13,77,1,57,0,138889,0,78,19,86
2,82,0,81,1,94891,1,8,5,73
8,31,1,71,0,173781,0,74,6,99
9,80,1,56,0,132653,1,31,7,82
7,58,0,77,1,84208,0,83,15,48
12,59,1,63,0,93635,0,28,22,64
13,30,1,89,0,131082,0,66,19,42
2,85,0,88,0,99728,0,97,22,43
12,96,0,88,0,181114,0,65,20,74
2,39,0,60,1,80671,1,19,6,83
5,81,0,87,0,71251,0,75,5,95
1,46,0,69,0,187337,1,72,23,95
10,56,0,62,0,180286,0,77,17,71
4,78,1,47,0,59494,0,23,14,51
9,86,1,72,1,94469,0,91,11,91
5,61,1,82,0,118158,1,37,21,42
10,39,0,49,1,146994,1,60,21,78
7,46,0,77,1,105017,0,77,8,48
5,51,0,46,0,133244,1,4,6,68
5,48,0,41,1,139670,0,96,8,61
8,40,1,65,0,162779,1,4,18,59
10,99,0,91,0,76755,1,42,17,94
6,98,1,69,0,76912,1,26,6,78
3,71,1,63,1,144952,1,85,6,91
7,78,0,55,1,89245,1,73,16,68
10,41,0,87,1,154902,0,87,16,92
8,61,0,93,0,59159,0,76,15,59
6,83,0,59,1,52178,1,37,22,87
11,38,0,90,0,187486,1,49,14,94
11,53,0,95,1,150377,1,58,13,74
2,56,1,75,0,98318,0,36,9,85
8,60,0,92,1,118602,1,44,20,44
2,83,1,57,1,162493,0,1,14,84
13,80,1,80,1,96038,0,44,11,96
7,73,1,60,1,120017,0,46,20,70
11,50,0,50,0,145621,1,31,15,76
10,80,1,94,1,193862,1,33,12,92
3,71,1,49,0,144704,1,42,18,54
12,40,1,81,1,82551,0,94,8,78
5,33,1,50,0,63981,1,19,13,49
9,39,1,67,0,193766,0,35,19,73
12,91,1,72,0,106611,0,68,12,71
8,37,0,78,1,110396,1,35,21,99
